numCases = 21;

Case 1: [96 400 200] CC200																					
Delay	0.0960	0.1119	0.1279	0.1438	0.1598	0.1757	0.1917	0.2076	0.2236	0.2395	0.2555	0.2714	0.2874	0.3033	0.3193	0.3352	0.3512	0.3671	0.3831	0.3990	
Abs Perf	1.3320	1.3603	1.3710	1.8857	1.9974	2.0697	2.6111	2.8082	2.9817	3.1332	3.9392	4.1552	5.0152	5.2828	6.2585	7.2430	7.6333	9.6192	10.9276	13.2155	
Abs Perf	0.5140	0.5487	0.7477	0.8296	0.8734	1.1665	1.2572	1.6081	2.3519	2.5230	2.9118	3.1748	4.0241	4.9380	6.0082	7.8908	10.7221	14.2990	18.9505	21.1431	
Norm Perf																					
																					
Case 16: [28 100 50] DSC50																					
Delay	0.0280	0.0317	0.0355	0.0392	0.0429	0.0467	0.0504	0.0542	0.0579	0.0616	0.0654	0.0691	0.0728	0.0766	0.0803	0.0841	0.0878	0.0915	0.0953	0.0990	
Abs Perf	1.9947	2.0107	2.0260	2.0401	2.0532	2.0659	2.0781	2.0962	2.1147	2.1326	2.1497	2.1673	2.1839	2.1995	2.2153	2.2301	2.2438	2.2569	2.2693	2.2803	
Norm Perf																					
																					
Case 17: [5 100 50] WanliDCM50																					
Delay	0.0050	0.0099	0.0149	0.0198	0.0248	0.0297	0.0347	0.0396	0.0446	0.0495	0.0545	0.0594	0.0644	0.0693	0.0743	0.0792	0.0842	0.0891	0.0941	0.0990	
Abs Perf	0.1988	0.2681	0.2974	0.3090	0.4245	0.4623	0.4816	0.6376	0.6719	0.8540	0.9116	1.1368	1.3762	1.6398	1.9272	2.4295	2.9884	4.0257	5.6283	8.8374	
Norm Perf																					
																					
Case 18: [30 100 50] CSS50																					
Delay	0.0300	0.0336	0.0373	0.0409	0.0445	0.0482	0.0518	0.0554	0.0591	0.0627	0.0663	0.0699	0.0736	0.0772	0.0808	0.0845	0.0881	0.0917	0.0954	0.0990	
Abs Perf	0.7629	0.7898	0.8067	0.8209	1.0557	1.1036	1.3894	1.4397	1.4744	1.7292	1.8005	2.1147	2.1794	2.5121	2.8639	3.2281	3.6260	4.0516	4.7578	5.2848	
Norm Perf																					
																					
Case 19: [114 400 200] DSC200																					
Delay	0.1140	0.1290	0.1440	0.1590	0.1740	0.1890	0.2040	0.2190	0.2340	0.2490	0.2640	0.2790	0.2940	0.3090	0.3240	0.3390	0.3540	0.3690	0.3840	0.3990	
Abs Perf	6.1406	6.2974	6.4425	6.5698	6.6705	6.7298	6.7592	6.8476	6.9428	7.0438	7.1506	7.2618	7.3749	7.4899	7.5989	7.7061	7.7949	7.8853	7.9429	7.9560	
Norm Perf																					
																					
Case 20: [35 200 100] WanliDCM100																					
Delay	0.0350	0.0436	0.0523	0.0609	0.0695	0.0782	0.0868	0.0954	0.1041	0.1127	0.1213	0.1299	0.1386	0.1472	0.1558	0.1645	0.1731	0.1817	0.1904	0.1990	
Abs Perf	0.5951	0.6079	0.8521	0.9114	0.9475	1.2374	1.3049	1.6267	1.7417	1.8432	2.2724	2.7093	2.8772	3.3965	3.9443	4.9401	6.0202	7.6182	10.2305	13.5372	
Norm Perf																					
																					
Case 21: [101 400 200] WanliDCM200																					
Delay	0.1010	0.1167	0.1324	0.1481	0.1637	0.1794	0.1951	0.2108	0.2265	0.2422	0.2578	0.2735	0.2892	0.3049	0.3206	0.3363	0.3519	0.3676	0.3833	0.3990	
Abs Perf	1.2915	1.6561	1.8814	1.9612	2.0129	2.0894	2.2627	2.3765	3.0354	3.2942	3.4283	3.5249	3.6014	3.6697	3.7245	3.7703	4.7262	4.9241	5.0976	5.4311	
Norm Perf																					
